NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
BX0901,0.9402087820666234,0.7470967741935484,0.9455,0.2825294266864314,0.49024007318948426,0.713999
BX0902,0.8636392127366178,0.5174193548387097,1.0,0.30761176189848877,0.49343254930997604,0.664222
BX0903,0.8320911256225284,0.5896774193548386,1.0,0.2183720010548475,0.8520588226517076,0.729126
BX0904,0.8329344592977538,0.7793548387096774,0.9722,0.259458766653428,0.5480194882806237,0.707067
BX0991,,,,,,0.0
BX1001,0.861869921478797,0.6606451612903226,0.9167,0.26681981448985487,0.37962197174285073,0.646884
BX1002,0.6467286630881968,0.3703225806451612,1.0,0.18265401143351362,0.23340054740979574,0.509825
BX1003,0.6501874707967223,0.5058064516129032,,,,0.263708
BX1004,0.783559551893512,0.6619354838709677,1.0,0.13483142612453075,0.3831658181823187,0.625135
BX1071,,,,,,0.0
BX1091,,,1.0,,0.3268754391021322,0.265375
BX1101,0.814751501475834,0.6619354838709677,0.9459,0.24004072474911334,0.5771266795694638,0.676686
BX1102,0.6943741666381756,0.567741935483871,0.9592,0.2937329556939849,0.45605954997712705,0.614254
BX1103,0.6679914982848416,0.40774193548387094,1.0,0.3163578218437885,0.19483271022395948,0.534966
BX1104,0.883357835595519,0.7070967741935483,0.9688,0.25783323674928726,0.20954625299948496,0.636603
BX1161,,,1.0,0.24208177101700729,0.48260966345859174,0.332834
BX1201,0.8190821338621264,0.6077419354838709,0.92,0.30177170065110387,0.2863431386611101,0.612853
BX1202,0.7143150193168997,0.5638709677419353,0.9615,0.25582534832848713,0.3623596073334201,0.594499
BX1203,0.6689658905717575,0.5367741935483872,0.9492,0.39277242037011223,0.28935056801043313,0.581222
BX1271,,,1.0,0.39244424443638465,0.21829128317382476,0.302525
BX2691,,,0.9167,0.35423758922344206,0.4063697738299509,0.31775
BX2791,,,1.0,0.14508398862148228,0.643890369050308,0.350541
BX2891,,,,,,0.0
MN0101,0.0818033664968602,0.967741935483871,,,,0.213999
MN0102,0.0882879186752823,0.9625806451612904,0.8,0.13390531104505526,0.15586299565010733,0.425847
MN0191,,,,,,0.0
MN0201,0.3292249307668639,0.9754838709677419,0.8611,0.17451314795754672,0.1465265556662388,0.505105
MN0202,0.1418851926561591,0.944516129032258,0.8511,0.1900753781813134,0.27587985912871554,0.478282
MN0203,0.0974221340900544,0.9651612903225807,0.9216,0.20896212749113482,0.3114008823309301,0.495332
MN0301,0.9593490375739342,0.9393548387096774,0.9767,0.2354751622401915,0.4265714396288984,0.743684
MN0302,0.6948186262778215,0.9406451612903226,,,,0.361834
MN0303,0.6217420538593912,0.96,,,,0.347436
MN0401,0.4341003111217477,0.9612903225806452,0.9367,0.24321061043639747,0.3734969347694521,0.599304
MN0402,0.5427535984136209,0.9548387096774194,0.9828,0.23730170503462245,0.31353514545225625,0.621518
MN0501,0.025690336991578,0.9496774193548387,0.8636,0.25507897053294953,0.24752609605295223,0.456845
MN0502,0.2341846444892703,0.9858064516129033,0.8926,0.250778180090701,0.22850712525126998,0.517546
MN0601,0.1527345664239233,0.9432258064516129,,,,0.226829
MN0602,0.3337151127673881,0.9793548387096774,0.9024,0.2972184677609127,0.5250512365171894,0.609373
MN0603,0.3861385574435593,0.9509677419354838,,,,0.286728
