route_id,NTACode
M102,MN1101
M102,MN0802
M102,MN0604
M102,
M102,MN0602
M102,MN1001
M102,MN1002
M103,
M103,MN1101
M103,MN0802
M103,MN0604
M103,MN0602
M103,MN0202
M103,MN0201
M103,MN0301
M103,MN0102
M15,
M15,MN1101
M15,MN0604
M15,MN0602
M15,MN0301
M15,MN0102
M31,
M31,MN0604
M31,MN0502
M31,MN0402
Q76,
Q76,QN0702
Q76,QN0703
Q76,QN0704
Q76,QN1101
Q76,QN0803
Q76,QN0891
Q76,QN0804
Q76,QN1201
Q76,QN1206
Q90,QN0707
Q90,QN0302
Q90,
Q90,QN8191
Q58,QN0707
Q58,QN8191
Q58,QN0402
Q58,QN0401
Q58,QN0501
Q58,QN0502
Q58,QN0706
Q98,QN0502
Q98,QN0501
Q98,QN0401
Q98,QN0602
Q98,QN0706
Q98,QN0707
Q98,QN8191
Q98,QN0402
Q13,QN0707
Q13,QN0705
Q13,QN1101
Q13,QN1102
Q13,QN0703
Q13,QN0761
Q13,QN0704
Q61,QN0702
Q61,QN0704
Q61,QN0707
Q38,QN0501
Q38,QN0502
Q38,QN0504
Q38,QN0601
Q38,QN0602
Q38,QN0571
Q44+,QN1201
Q44+,QN0805
Q44+,QN0801
Q44+,QN0706
Q44+,QN0707
Q44+,QN0704
Q44+,QN0702
Q44+,BX0903
Q44+,BX1001
Q44+,
Q44+,BX0904
Q44+,BX0901
Q44+,BX0601
Q44+,BX2791
Q44+,QN0871
Q20,QN1201
Q20,QN0805
Q20,QN0801
Q20,QN0706
Q20,QN0707
Q20,QN0704
Q20,
Q20,QN0871
Q15,QN0707
Q15,QN0704
Q15,QN0702
Q31,QN1201
Q31,QN0804
Q31,QN0803
Q31,QN1101
Q31,QN1102
Q31,QN0703
Q31,QN0802
Q31,QN0805
Q16,QN0707
Q16,QN0704
Q16,QN1101
Q16,QN0703
Q16,QN0761
Q12,
Q12,QN1191
Q12,QN1102
Q12,QN1101
Q12,QN0704
Q12,QN0707
Q12,QN0705
Q85,QN1201
Q85,QN1202
Q85,QN1203
Q85,QN1204
Q85,QN1306
Q85,QN1307
Q85,QN1305
Q85,QN1205
Q89,QN1201
Q89,QN1202
Q89,QN1203
Q89,QN1204
Q89,QN1306
Q89,QN1307
Q89,
Q89,QN1305
Q89,QN1205
Q87,QN1201
Q87,QN1202
Q87,QN1203
Q87,QN1204
Q87,QN1205
Q87,QN1305
Q87,QN1307
Q87,
Q86,QN1201
Q86,QN1202
Q86,QN1203
Q86,QN1204
Q86,QN1205
Q86,QN1305
Q86,QN1307
Q86,QN1306
Q30,QN1201
Q30,QN0804
Q30,QN0803
Q30,QN1104
Q30,
Q30,QN1191
Q30,QN1102
Q30,QN1101
Q30,QN0802
Q30,QN0805
Q77,QN1306
Q77,QN1305
Q77,QN1371
Q77,QN1304
Q77,QN1205
Q77,QN1303
Q77,QN0804
Q77,QN1201
Q77,QN1206
Q77,QN1204
Q5,QN1305
Q5,QN1205
Q5,QN1202
Q5,QN1201
Q5,QN1203
Q5,QN1204
Q17,QN0707
Q17,QN0705
Q17,QN0706
Q17,QN0802
Q17,QN0803
Q17,QN0804
Q17,QN0805
Q17,QN1201
Q17,QN1101
Q42,QN1201
Q42,QN1202
Q42,QN1205
Q84,QN1305
Q84,QN1304
Q84,QN1205
Q84,QN1202
Q84,QN1201
Q84,QN1203
Q4,QN1201
Q4,QN1202
Q4,QN1205
Q4,QN1304
Q3,QN1201
Q3,QN1206
Q3,QN1205
Q3,QN1204
Q3,QN1306
Q3,
Q3,QN0804
QM63,QN1307
QM63,QN1305
QM63,QN1205
QM63,QN1202
QM63,QN1203
QM63,QN0901
QM63,QN0602
QM63,QN0401
QM63,MN0602
QM63,MN0501
QM63,MN0502
QM63,MN0604
QM63,QN1204
Q75,QN1102
Q75,QN1101
Q75,QN0803
Q75,QN0802
Q75,QN0805
Q75,QN1201
Q75,QN0804
Q75,QN1104
Q27,QN1304
Q27,QN1303
Q27,QN1104
Q27,QN1191
Q27,QN1102
Q27,QN1101
Q27,QN0705
Q27,QN0707
Q83,QN1304
Q83,QN1303
Q83,QN1205
Q83,QN1201
Q83,QN1202
Q36,
Q36,QN1301
Q36,QN1302
Q36,QN1303
Q36,QN0804
Q36,QN1201
Q36,QN1206
Q43,QN1201
Q43,QN1206
Q43,QN1303
Q43,QN1302
Q43,QN1301
Q43,QN0804
Q43,QN0805
Q2,QN1303
Q2,QN1206
Q2,QN1205
Q2,QN0804
Q2,QN1201
Q1,QN1201
Q1,QN1206
Q1,QN1303
Q1,QN1302
Q1,QN0804
Q1,QN0805
Q46,QN1301
Q46,
Q46,QN1302
Q46,QN1104
Q46,QN0803
Q46,QN0802
Q46,QN0801
Q46,QN0602
Q46,QN0901
Q46,QN0804
Q46,QN0891
Q48,QN0602
Q48,QN0901
Q48,QN0801
Q48,QN0802
Q48,QN0804
Q48,QN0891
Q48,QN1104
Q48,QN1302
Q48,QN1301
Q48,QN0803
QM68,QN1301
QM68,QN1302
QM68,QN1303
QM68,QN0804
QM68,QN0805
QM68,QN0901
QM68,QN0602
QM68,QN0401
QM68,MN0602
QM68,MN0501
QM68,MN0502
QM68,MN0604
QM68,QN1201
QM68,QN1206
Q82,QN1303
Q82,QN0804
Q82,QN1201
Q82,QN1206
QM64,
QM64,QN1304
QM64,QN1205
QM64,QN1201
QM64,QN0901
QM64,QN0602
QM64,QN0401
QM64,MN0602
QM64,MN0501
QM64,MN0502
QM64,MN0604
QM64,QN1202
Q45,QN0803
Q45,QN0802
Q45,QN0801
Q45,QN0602
Q45,QN0901
Q45,QN0805
Q45,QN0804
Q88,QN0401
Q88,QN0601
Q88,QN0602
Q88,QN0706
Q88,QN0802
Q88,QN0803
Q88,QN0891
Q88,QN1104
Q88,QN1303
Q88,QN1191
Q88,QN1101
Q88,QN0402
Q5,QN1307
Q5,
Q4,QN1206
Q27,QN1302
Q83,QN1206
Q46,QN0805
Q88,QN0801
SIM34,
SIM34,SI0105
SIM34,SI0203
SIM34,BK1061
SIM34,BK1001
SIM34,BK1002
SIM34,BK0703
SIM34,BK0702
SIM34,BK0601
SIM34,MN0102
SIM34,MN0202
SIM34,MN0201
SIM35,SI0106
SIM35,SI0105
